<article n="1">
,	PCT_W	,
mais	C_C	mais
nous	CL_suj	il
nous	CL_obj	le/lui
excusâmes	N_C	unk
.	PCT_S	.
<s lang="fr" n="52-147">
De	P	de
retour	N_C	retour
à	P	à
notre	D_poss	son
auberge	N_C	auberge
,	PCT_W	,
tandis	A_qual	unk
que	C_S	que
nous	CL_suj	il
mangions	V	manger
quelque	ADV	quelque
chose	A_qual	chose
avant	P	avant
de	D_part	un
remonter	V	remonter
à	P	à
cheval	N_C	cheval
,	PCT_W	,
voilà	V	voilà
qu'	ADV	que
arrivent	V	arriver
deux	D_card	deux
huissiers	N_C	huissier
apportant	V	apporter
,	PCT_W	,
de	P	de
la	D_def	le
part	N_C	part
du	N_P	du
Gouverneur	N_P	unk
,	PCT_W	,
deux	D_card	deux
grosses	A_qual	gros
channes	N_C	channe
d'	P	de
argent	N_C	argent
pleines	A_qual	plein
d'	P	de
excellent	A_qual	excellent
vin	N_C	vin
.	PCT_S	.
<s lang="fr" n="52-148">
Nous	CL_suj	il
bûmes	V	boire
à	P	à
sa	D_poss	son
santé	N_C	santé
dans	P	dans
les	D_def	le
deux	A_card	deux
grands	A_qual	grand
bols	N_C	bol
élégamment	ADV	élégamment
ouvrés	V	ouvrer
à	P	à
la	D_def	le
mode	N_C	mode
allemande	A_qual	allemand
,	PCT_W	,
et	C_C	et
récompensâmes	A_qual	unk
les	D_def	le
deux	A_card	deux
Suisses	N_C	suisse
qui	PRO_rel	qui
les	CL_obj	il
portaient	V	porter
.	PCT_S	.
<s lang="fr" n="52-149">
Cette	D_dem	ce
gracieuseté	N_C	gracieuseté
,	PCT_W	,
venant	V	venir
après	P	après
celle	PRO_dem	celui
de	P	de
notre	D_poss	son
hôte	N_C	hôte
de	P	de
Sion	N_P	Sion
,	PCT_W	,
nous	CL_suj	il
réconcilia	V	réconcilier
entièrement	ADV	entièrement
avec	P	avec
les	D_def	le
montagnards	N_C	montagnard
.	PCT_S	.
<s lang="fr" n="52-150">
Poursuivant	V	poursuivre
notre	D_poss	son
route	N_C	route
,	PCT_W	,
nous	CL_suj	il
passâmes	V	passer
dans	P	dans
l'	D_def	la|le
après-midi	N_C	après-midi
la	D_def	le
porte	N_C	porte
qui	PRO_rel	qui
sépare	V	séparer
2	N_card	@card@
)	PCT_W	)
le	D_def	le
Valais	N_C	valais
du	P	de
Duché	V	unk
de	D_part	un
Savoie	N_P	Savoie
où	PRO_rel	où
nous	CL_suj	il
entrions	V	entrer
maintenant	ADV	maintenant
,	PCT_W	,
et	N_P	et
,	PCT_W	,
après	P	après
avoir	V	avoir
traverse	V	traverser
Montei	N_P	unk
(	PCT_W	(
Monthey	N_P	Monthey
)	PCT_W	)
3	N_card	@card@
)	PCT_W	)
nous	CL_suj	il
arrivâmes	V	arriver
le	D_def	le
même	A_ind	même
soir	N_C	soir
à	P	à
Beveretta	N_P	unk
(	PCT_W	(
Bouveret	N_P	Bouveret
)	PCT_W	)
.	PCT_S	.
<s lang="fr" n="52-151">
Extrêmement	ADV	extrêmement
fatigue	N_C	fatigue
,	PCT_W	,
souffrant	V	souffrir
de	D_part	un
la	D_def	le
tête	N_C	tête
et	C_C	et
ne	ADV	ne
trouvant	V	trouver
pas	ADV	pas
de	D_ind	un
place	N_C	place
dans	P	dans
l'	D_def	la|le
auberge	N_C	auberge
,	PCT_W	,
je	CL_suj	il
fis	V	faire
sortir	V	sortir
l'	D_def	la|le
une	N_C	une
des	P	de
filles	N_C	fille
de	P	de
notre	D_poss	son
hôtesse	N_C	hôtesse
de	P	de
son	D_poss	son
lit	N_C	lit
et	C_C	et
y	CL_obj	y
entrai	V	entrer
incontinent	ADV	incontinent
pendant	P	pendant
qu'	C_S	que
il	CL_suj	il
était	V	être
encore	ADV	encore
tout	ADV	tout
chaud	A_qual	chaud
,	PCT_W	,
trop	ADV	trop
accablé	V	accabler
de	D_ind	un
douleur	N_C	douleur
et	C_C	et
de	D_ind	un
sommeil	N_C	sommeil
pour	P	pour
attendre	V	attendre
qu'	C_S	que
on	CL_suj	il
en	CL_obj	en
eût	V	avoir
changé	V	changer
les	D_def	le
draps	N_C	drap
.	PCT_S	.
<s lang="fr" n="52-152">
Je	CL_suj	il
payai	V	payer
bientôt	ADV	bientôt
chèrement	ADV	chèrement
mon	D_poss	son
impatience	N_C	impatience
,	PCT_W	,
car	C_C	car
je	CL_suj	il
tombai	V	tomber
malade	A_qual	malade
de	P	de
la	D_def	le
petite	A_qual	petit
vérole	N_C	vérole
à	P	à
mon	D_poss	son
arrivée	N_C	arrivée
à	P	à
Genève	N_P	Genève
.	PCT_S	.
<s lang="fr" n="52-153">
De	P	de
l'	D_def	la|le
odeur	N_C	odeur
de	P	de
«	PCT_W	«
franc-encens	A_qual	unk
»	PCT_W	»
qui	PRO_rel	qui
régnait	V	régner
dans	P	dans
la	D_def	le
maison	N_C	maison
et	C_C	et
de	P	de
ce	PRO_dem	ce
que	PRO_rel	que
nous	CL_suj	il
avait	V	avoir
raconté	V	raconter
la	D_def	le
bonne	A_qual	bon
femme	N_C	femme
,	PCT_W	,
que	C_S	que
sa	D_poss	son
fille	N_C	fille
avait	V	avoir
eu	V	avoir
les	D_def	le
fièvres	N_C	fièvre
,	PCT_W	,
je	CL_suj	il
conclus	V	conclure
que	C_S	que
celle-ci	N_P	unk
relevait	V	relever
de	D_part	un
la	D_def	le
petite	A_qual	petit
vérole	N_C	vérole
4	N_card	@card@
)	PCT_W	)
.	PCT_S	.
<s lang="fr" n="52-219">
*	N_C	*
)	PCT_W	)
Allusion	N_C	allusion
à	P	à
la	D_def	le
lutte	N_C	lutte
que	C_S	que
ces	D_dem	ce
deux	A_card	deux
puissances	N_C	puissance
se	CL_refl	il
livraient	V	livrer
dans	P	dans
les	D_def	le
Grisons	N_C	grison
à	P	à
cette	D_dem	ce
époque	N_C	époque
,	PCT_W	,
pour	P	pour
y	CL_obj	y
faire	V	faire
prédominer	V	prédominer
leur	D_poss	son
influence	N_C	influence
et	N_P	et
s'	CL_refl	il
assurer	V	assurer
les	D_def	le
passages	N_C	passage
des	P	de
Alpes	N_P	Alpes
orientales	A_qual	oriental
.	PCT_S	.
<s lang="fr" n="52-220">
2	N_card	@card@
La	N_P	La
Porte	N_P	Porte
du	N_P	du
Sex	N_P	unk
était	V	être
un	PRO_ind	un
fort	A_qual	fort
,	PCT_W	,
construit	V	construire
par	P	par
les	D_def	le
Valaisans	N_C	valaisan
en	P	en
1597	N_card	@card@
,	PCT_W	,
et	C_C	et
qui	PRO_rel	qui
servait	V	servir
à	P	à
contrôler	V	contrôler
,	PCT_W	,
éventuellement	ADV	éventuellement
à	P	à
fermer	V	fermer
le	D_def	le
passage	N_C	passage
plutôt	ADV	plutôt
qu'	C_S	que
à	P	à
faciliter	V	faciliter
les	D_def	le
communications	N_C	communication
:	PCT_W	:
<s lang="fr" n="52-221">
d'	P	de
où	PRO_rel	où
le	D_def	le
verbe	N_C	verbe
«	PCT_W	«
séparer	V	séparer
»	PCT_W	»
,	PCT_W	,
employé	V	employer
ici	ADV	ici
par	P	par
l'	D_def	la|le
auteur	N_C	auteur
.	PCT_S	.
<s lang="fr" n="52-222">
3	N_card	@card@
En	P	en
venant	V	venir
de	D_part	un
St-Maurice	N_P	St-Maurice
au	N_P	au
Bouveret	N_P	Bouveret
,	PCT_W	,
on	CL_suj	il
rencontre	V	rencontrer
Monthey	N_P	Monthey
avant	P	avant
la	D_def	le
Porte	N_C	porte
du	N_P	du
Sex	N_P	unk
,	PCT_W	,
mais	C_C	mais
les	D_def	le
lignes	N_C	ligne
qui	PRO_rel	qui
suivent	V	suivre
expliquent	V	expliquer
cette	D_dem	ce
petite	A_qual	petit
défaillance	N_C	défaillance
de	P	de
mémoire	N_C	mémoire
,	PCT_W	,
à	P	à
moins	ADV	moins
qu'	C_S	que
il	CL_suj	il
n'	ADV	ne
en	CL_obj	en
faille	N_C	faille
chercher	V	chercher
la	D_def	le
raison	N_C	raison
au	P	à
fond	N_C	fond
des	P	de
channes	N_C	channe
du	P	de
Gouverneur	N_C	gouverneur
de	P	de
St-Maurice	N_P	St-Maurice
.	PCT_S	.
<s lang="fr" n="52-223">
4	N_card	@card@
Ce	PRO_dem	ce
que	PRO_rel	que
nous	CL_suj	il
savons	V	savoir
aujourd'hui	ADV	aujourd'hui
de	D_part	un
la	D_def	le
durée	N_C	durée
d'	P	de
incubation	N_C	incubation
de	P	de
la	D_def	le
variole	N_C	variole
nous	CL_obj	le/lui
permet	V	permettre
de	P	de
lever	V	lever
l'	D_def	la|le
accusation	N_C	accusation
qui	PRO_rel	qui
pèse	V	peser
depuis	P	depuis
trois	D_card	trois
siècles	N_C	siècle
sur	P	sur
la	D_def	le
brave	A_qual	brave
hôtesse	N_C	hôtesse
du	N_P	du
Bouveret	N_P	Bouveret
.	PCT_S	.
<s lang="fr" n="52-224">
Il	CL_suj	il
est	V	être
certain	A_qual	certain
que	C_S	que
John	N_P	John
Evelyn	V	unk
portait	V	porter
déjà	ADV	déjà
en	P	en
lui	PRO	lui
les	D_def	le
germes	N_C	germe
de	P	de
la	D_def	le
maladie	N_C	maladie
,	PCT_W	,
et	C_C	et
que	C_S	que
ses	D_poss	son
maux	N_C	mal
de	P	de
tête	N_C	tête
en	CL_obj	en
étaient	V	être
les	D_def	le
prodromes	N_C	prodrome
.	PCT_S	.
<s lang="fr" n="52-154">
Je	CL_suj	il
continuai	V	continuer
néanmoins	ADV	néanmoins
le	D_def	le
jour	N_C	jour
suivant	A_qual	suivant
avec	P	avec
mes	D_poss	son
compagnons	N_C	compagnon
,	PCT_W	,
dans	P	dans
une	D_ind	un
barque	N_C	barque
frétée	V	fréter
pour	P	pour
nous	CL_obj	le/lui
transporter	V	transporter
à	P	à
l'	D_def	la|le
autre	A_ind	autre
bout	N_C	bout
du	P	de
lac	N_C	lac
.	PCT_S	.
<s lang="fr" n="52-155">
Le	D_def	le
temps	N_C	temps
était	V	être
si	ADV	si
beau	A_qual	beau
et	C_C	et
si	ADV	si
serein	A_qual	serein
,	PCT_W	,
l'	D_def	la|le
eau	N_C	eau
si	ADV	si
calme	A_qual	calme
,	PCT_W	,
l'	D_def	la|le
air	N_C	air
si	ADV	si
doux	A_qual	doux
que	C_S	que
,	PCT_W	,
tout	ADV	tout
malade	A_qual	malade
que	C_S	que
j'	CL_suj	il
étais	V	être
,	PCT_W	,
jamais	ADV	jamais
voyageur	N_C	voyageur
n'	ADV	ne
eut	V	avoir
une	D_ind	un
navigation	N_C	navigation
plus	ADV	plus
délicieuse	A_qual	délicieux
.	PCT_S	.
<s lang="fr" n="52-156">
Nous	CL_suj	il
traversâmes	V	traverser
ainsi	ADV	ainsi
le	D_def	le
lac	N_C	lac
dans	P	dans
toute	A_ind	tout
sa	D_poss	son
longueur	N_C	longueur
,	PCT_W	,
soit	C_C	soit
environ	ADV	environ
30	N_card	@card@
milles	N_C	mille
1	N_card	@card@
)	PCT_W	)
,	PCT_W	,
entre	P	entre
les	D_def	le
rives	N_C	rive
savoisienne	A_qual	savoisien
et	C_C	et
bernoise	A_qual	unk
qui	PRO_rel	qui
présentent	V	présenter
l'	D_def	la|le
un	PRO_card	un
des	P	de
plus	ADV	plus
admirables	A_qual	admirable
panoramas	N_C	panorama
qui	PRO_rel	qui
soit	V	être
au	P	à
monde	N_C	monde
,	PCT_W	,
avec	P	avec
les	D_def	le
Alpes	N_P	Alpes
neigeuses	A_qual	neigeux
montrant	V	montrer
dans	P	dans
le	D_def	le
lointain	A_qual	lointain
leurs	D_poss	son
sommets	N_C	sommet
audacieux	A_qual	audacieux
.	PCT_S	.
<s lang="fr" n="52-157">
Le	D_def	le
fleuve	N_C	fleuve
Rhodanus	N_P	unk
(	PCT_W	(
Rhône	N_P	Rhône
)	PCT_W	)
passe	V	passer
à	P	à
travers	N_C	travers
ce	D_dem	ce
lac	N_C	lac
avec	P	avec
une	D_ind	un
rapidité	N_C	rapidité
telle	A_qual	tel
que	C_S	que
ses	D_poss	son
eaux	N_C	eau
ne	ADV	ne
se	CL_refl	il
mélangent	V	mélanger
pas	ADV	pas
avec	P	avec
celles	PRO_dem	celles
du	P	de
lac	N_C	lac
,	PCT_W	,
très	ADV	très
limpides	A_qual	limpide
,	PCT_W	,
extrêmement	ADV	extrêmement
profondes	A_qual	profond
,	PCT_W	,
et	C_C	et
qui	PRO_rel	qui
nourrissent	V	nourrir
les	D_def	le
plus	ADV	plus
célèbres	A_qual	célèbre
truites	N_C	truite
de	P	de
l'	D_def	la|le
Europe	N_P	Europe
pour	P	pour
leur	D_poss	son
grandeur	N_C	grandeur
et	C_C	et
leur	D_poss	son
qualité	N_C	qualité
.	PCT_S	.
<s lang="fr" n="52-158">
J'	CL_suj	il
en	CL_obj	en
ai	V	avoir
vu	V	voir
vendre	V	vendre
sur	P	sur
le	D_def	le
marché	N_C	marché
pour	P	pour
un	D_ind	un
prix	N_C	prix
très	ADV	très
modique	A_qual	modique
qui	PRO_rel	qui
avaient	V	avoir
trois	D_card	trois
pieds	N_C	pied
de	P	de
long	N_C	long
,	PCT_W	,
et	C_C	et
nous	CL_suj	il
en	CL_obj	en
avions	V	avoir
de	D_part	un
pareilles	A_qual	pareil
à	P	à
la	D_def	le
Croix-Blanche	N_C	unk
,	PCT_W	,
l'	D_def	la|le
hôtellerie	N_C	hôtellerie
où	PRO_rel	où
nous	CL_suj	il
étions	V	être
.	PCT_S	.
<s lang="fr" n="52-159">
Après	P	après
le	D_def	le
dîner	N_C	dîner
,	PCT_W	,
nous	PRO	lui
eûmes	N_C	unk
la	D_def	le
visite	N_C	visite
d'	P	de
un	D_ind	un
Monsieur	N_C	Monsieur
Saladin	N_P	Saladin
avec	P	avec
son	D_poss	son
jeune	N_C	jeune
élève	V	élever
,	PCT_W	,
le	D_def	le
comte	N_C	comte
de	P	de
Carnavon	N_P	unk
.	PCT_S	.
<s lang="fr" n="52-160">
Il	CL_suj	il
s'	CL_refl	il
offrit	V	offrir
pour	P	pour
nous	CL_obj	le/lui
mener	V	mener
voir	V	voir
les	D_def	le
principaux	A_qual	principal
endroits	N_C	endroit
de	P	de
la	D_def	le
ville	N_C	ville
,	PCT_W	,
mais	C_C	mais
je	CL_suj	il
ne	ADV	ne
pouvais	V	pouvoir
plus	ADV	plus
me	CL_refl	je
tenir	V	tenir
debout	A_qual	debout
et	C_C	et
fus	V	être
obligé	V	obliger
de	P	de
garder	V	garder
la	D_def	le
chambre	N_C	chambre
;	PCT_W	;
<s lang="fr" n="52-161">
il	CL_suj	il
me	CL_obj	me
semblait	V	sembler
que	C_S	que
les	D_def	le
yeux	N_C	oeil
allaient	V	aller
me	CL_refl	je
tomber	V	tomber
de	D_part	un
la	D_def	le
tête	N_C	tête
.	PCT_S	.
<s lang="fr" n="52-162">
Durant	P	durant
la	D_def	le
nuit	N_C	nuit
,	PCT_W	,
je	CL_suj	il
ressentis	V	ressentir
de	D_ind	un
telles	A_qual	tel
démangeaisons	N_C	démangeaison
par	P	par
tout	A_ind	tout
le	D_def	le
corps	N_C	corps
que	PRO_rel	que
je	CL_suj	il
ne	ADV	ne
pus	V	pouvoir
dormir	V	dormir
.	PCT_S	.
<s lang="fr" n="52-163">
Au	P	à
matin	N_C	matin
,	PCT_W	,
je	CL_suj	il
me	CL_obj	me
sentais	V	sentir
très	ADV	très
malade	A_qual	malade
;	PCT_W	;
<s lang="fr" n="52-164">
le	D_def	le
médecin	N_C	médecin
que	PRO_rel	que
je	CL_suj	il
fis	V	faire
appeler	V	appeler
me	CL_refl	je
persuada	V	persuader
de	D_part	un
me	CL_refl	je
laisser	V	laisser
saigner	V	saigner
.	PCT_S	.
<s lang="fr" n="52-165">
C'	PRO_dem	ce
était	V	être
un	D_ind	un
homme	N_C	homme
déjà	ADV	déjà
âgé	A_qual	âgé
,	PCT_W	,
très	ADV	très
savant	A_qual	savant
;	PCT_W	;
<s lang="fr" n="52-166">
il	CL_suj	il
avait	V	avoir
,	PCT_W	,
disait	V	dire
-il	CL_suj	il
,	PCT_W	,
été	V	être
le	D_def	le
médecin	N_C	médecin
de	P	de
Gustave	N_P	Gustave
,	PCT_W	,
le	D_def	le
grand	A_qual	grand
roi	N_C	roi
de	P	de
Suède	N_P	Suède
,	PCT_W	,
lorsque	C_S	lorsque
celui-ci	N_P	unk
,	PCT_W	,
sous	P	sous
le	D_def	le
titre	N_C	titre
de	P	de
Monsieur	N_C	Monsieur
Garse	N_P	Garse
-	PCT_W	-
nom	N_C	nom
formé	V	former
des	D_ind	un
initiales	A_qual	initial
de	P	de
Gustavus	N_P	Gustavus
Adolphus	N_P	Adolphus
Rex	N_P	Rex
Sueciae	N_P	Sueciae
-	PCT_W	-
passa	V	passer
par	P	par
ici	ADV	ici
en	CL_obj	en
allant	V	aller
en	P	en
Italie	N_P	Italie
,	PCT_W	,
et	C_C	et
de	P	de
notre	D_poss	son
fameux	A_qual	fameux
duc	N_C	duc
de	P	de
Buckingam	N_P	unk
au	P	à
retour	N_C	retour
de	P	de
ce	D_dem	ce
pays	N_C	pays
.	PCT_S	.
<s lang="fr" n="52-167">
Le	D_def	le
médecin	N_C	médecin
reconnut	V	reconnaître
plus	ADV	plus
tard	ADV	tard
qu'	C_S	que
il	CL_suj	il
ne	ADV	ne
m'	CL_obj	me
aurait	V	avoir
pas	ADV	pas
saigné	V	saigner
s'	C_S	si
il	CL_suj	il
avait	V	avoir
soupçonné	V	soupçonner
la	D_def	le
petite	A_qual	petit
vérole	N_C	vérole
,	PCT_W	,
qui	PRO_rel	qui
se	CL_refl	il
déclara	V	déclarer
le	D_def	le
lendemain	N_C	lendemain
.	PCT_S	.
<s lang="fr" n="52-168">
Après	P	après
cela	PRO_dem	cela
,	PCT_W	,
il	CL_suj	il
me	CL_obj	me
fit	V	faire
purger	V	purger
et	C_C	et
m'	CL_obj	me
appliqua	V	appliquer
des	D_ind	un
sangsues	N_C	sangsue
,	PCT_W	,
et	N_P	et
Dieu	N_P	Dieu
sait	V	savoir
quel	PRO_int	quel
eût	V	avoir
été	V	être
le	D_def	le
résultat	N_C	résultat
de	P	de
tout	A_ind	tout
cela	PRO_dem	cela
si	C_S	si
les	D_def	le
pustules	N_C	pustule
n'	ADV	ne
avaient	V	avoir
pas	ADV	pas
fait	V	faire
leur	D_poss	son
apparition	N_C	apparition
,	PCT_W	,
car	C_C	car
il	CL_suj	il
songeait	V	songer
à	P	à
me	CL_obj	me
saigner	V	saigner
de	D_ind	un
nouveau	N_C	nouveau
.	PCT_S	.
<s lang="fr" n="52-169">
On	CL_suj	il
me	CL_obj	me
tint	V	tenir
au	P	à
lit	N_C	lit
,	PCT_W	,
bien	ADV	bien
au	P	à
chaud	A_qual	chaud
,	PCT_W	,
pendant	P	pendant
seize	D_card	seize
jours	N_C	jour
,	PCT_W	,
soigné	V	soigner
par	P	par
une	D_ind	un
vigilante	A_qual	vigilant
matrone	N_C	matrone
suisse	A_qual	suisse
,	PCT_W	,
dont	PRO_rel	dont
la	D_def	le
gorge	N_C	gorge
monstrueuse	A_qual	monstrueux
,	PCT_W	,
quand	C_S	quand
je	CL_suj	il
m'	CL_obj	me
éveillais	N_C	unk
parfois	ADV	parfois
de	P	de
mes	D_poss	son
sommeils	N_C	sommeil
fiévreux	A_qual	fiévreux
,	PCT_W	,
m'	CL_obj	me
épouvantait	V	épouvanter
.	PCT_S	.
<s lang="fr" n="52-170">
Après	P	après
que	PRO_int	que
l'	D_def	la|le
éruption	N_C	éruption
se	CL_refl	il
fut	V	être
produite	V	produire
,	PCT_W	,
je	CL_suj	il
souffris	V	souffrir
beaucoup	ADV	beaucoup
moins	ADV	moins
,	PCT_W	,
mais	C_C	mais
j'	CL_suj	il
étais	V	être
fort	ADV	fort
incommodé	V	incommoder
par	P	par
la	D_def	le
chaleur	N_C	chaleur
et	C_C	et
le	D_def	le
bruit	N_C	bruit
.	PCT_S	.
<s lang="fr" n="52-171">
Grâce	N_C	grâce
à	P	à
Dieu	N_P	Dieu
,	PCT_W	,
au	P	à
bout	N_C	bout
de	P	de
cinq	D_card	cinq
semaines	N_C	semaine
je	CL_suj	il
pus	V	pouvoir
enfin	ADV	enfin
sortir	V	sortir
.	PCT_S	.
<s lang="fr" n="52-172">
Monsieur	N_C	Monsieur
<s lang="fr" n="52-173">
Le	D_def	le
Chat	N_C	chat
,	PCT_W	,
mon	D_poss	son
médecin	N_C	médecin
,	PCT_W	,
voulant	V	vouloir
justifier	V	justifier
la	D_def	le
saignée	N_C	saignée
qu'	C_S	que
il	CL_suj	il
m'	CL_obj	me
avait	V	avoir
faite	V	faire
,	PCT_W	,
me	CL_refl	je
dit	V	dire
que	C_S	que
mon	D_poss	son
sang	N_C	sang
était	V	être
si	ADV	si
brûlé	V	brûler
et	C_C	et
si	ADV	si
vicié	A_qual	vicié
qu'	C_S	que
il	CL_suj	il
en	CL_obj	en
serait	V	être
résulté	V	résulté
pour	P	pour
moi	PRO	soi
la	D_def	le
peste	N_C	peste
ou	C_C	ou
la	D_def	le
fièvre	N_C	fièvre
tachetée	V	tacheter
s'	C_S	si
il	CL_suj	il
avait	V	avoir
procédé	V	procéder
autrement	ADV	autrement
.	PCT_S	.
<s lang="fr" n="52-225">
)	PCT_W	)
La	D_def	le
distance	N_C	distance
du	P	de
Bouveret	N_P	Bouveret
à	P	à
Genève	N_P	Genève
,	PCT_W	,
par	P	par
le	D_def	le
lac	N_C	lac
,	PCT_W	,
est	V	être
de	P	de
72	N_card	@card@
km.	N_C	kilomètre
<article n="53">
<s lang="fr" n="53-1">
La	D_def	le
grande	A_qual	grand
Windgälle	N_C	unk
<s lang="fr" n="53-2">
(	PCT_W	(
Ascension	N_P	Ascension
de	P	de
la	D_def	le
paroi	N_C	paroi
nord	N_P	Nord
.	PCT_S	.
)	PCT_W	)
<s lang="fr" n="53-3">
Par	P	par
F.	N_P	F.
Tharin	N_P	Tharin
.	PCT_S	.
<s lang="fr" n="53-4">
Depuis	P	depuis
quelque	D_ind	quelque
temps	N_C	temps
,	PCT_W	,
la	CL_obj	le
traversée	V	traverser
de	D_part	un
l'	D_def	la|le
arête	N_C	arête
ouest	A_qual	ouest
de	P	de
la	D_def	le
Grande	N_P	Grande
Windgälle	N_P	unk
était	V	être
devenue	V	devenir
l'	D_def	la|le
objet	N_C	objet
de	P	de
mes	D_poss	son
rêves	N_C	rêve
.	PCT_S	.
<s lang="fr" n="53-5">
Ce	PRO_dem	ce
qui	PRO_rel	qui
me	CL_obj	me
tentait	V	tenter
,	PCT_W	,
c'	PRO_dem	ce
était	V	être
moins	ADV	moins
la	D_def	le
paroi	N_C	paroi
sud-ouest	A_qual	sud-ouest
par	P	par
où	PRO_rel	où
on	CL_suj	il
y	CL_obj	y
accède	V	accéder
que	C_S	que
l'	D_def	la|le
arête	N_C	arête
elle-même	PRO	lui-même
,	PCT_W	,
dentelée	V	denteler
à	P	à
souhait	N_C	souhait
,	PCT_W	,
avec	P	avec
quelque	ADV	quelque
mille	D_card	mille
mètres	N_C	mètre
de	P	de
vide	N_C	vide
de	P	de
chaque	D_ind	chaque
côté	N_C	côté
.	PCT_S	.
<s lang="fr" n="53-6">
Quant	P	quant
à	P	à
la	D_def	le
paroi	N_C	paroi
nord	N_C	nord
je	CL_suj	il
n'	ADV	ne
y	CL_obj	y
fis	V	faire
jamais	ADV	jamais
allusion	N_C	allusion
qu'	PRO_rel	que
en	CL_obj	en
plaisantant	V	plaisanter
car	C_C	car
elle	CL_suj	il
a	V	avoir
très	ADV	très
mauvaise	A_qual	mauvais
réputation	N_C	réputation
.	PCT_S	.
<s lang="fr" n="53-7">
Pourtant	ADV	pourtant
,	PCT_W	,
certain	A_ind	certain
dimanche	N_C	dimanche
de	P	de
pluie	N_C	pluie
,	PCT_W	,
je	CL_suj	il
me	CL_obj	me
mis	V	mettre
à	P	à
en	CL_obj	en
relire	V	relire
presque	ADV	presque
inconsciemment	ADV	inconsciemment
l'	D_def	la|le
itinéraire	N_C	itinéraire
.	PCT_S	.
<s lang="fr" n="53-8">
En	P	en
tout	D_ind	tout
autre	A_ind	autre
moment	N_C	moment
,	PCT_W	,
j'	CL_suj	il
aurais	V	avoir
passé	V	passer
à	P	à
un	D_ind	un
autre	A_ind	autre
chapitre	N_C	chapitre
après	P	après
avoir	V	avoir
éprouvé	V	éprouver
le	D_def	le
frisson	N_C	frisson
que	PRO_rel	que
donne	V	donner
d'	P	de
ordinaire	N_C	ordinaire
la	D_def	le
lecture	N_C	lecture
du	P	de
commentaire	N_C	commentaire
qui	PRO_rel	qui
accompagne	V	accompagner
cet	D_dem	ce
itinéraire	N_C	itinéraire
.	PCT_S	.
<s lang="fr" n="53-9">
Il	CL_suj	il
n'	ADV	ne
en	CL_obj	en
fut	V	être
rien	PRO_ind	rien
cette	D_dem	ce
fois	N_C	fois
.	PCT_S	.
<s lang="fr" n="53-10">
Je	CL_suj	il
relus	V	relire
et	C_C	et
analysai	N_C	unk
ligne	N_C	ligne
après	P	après
ligne	N_C	ligne
et	C_C	et
une	D_ind	un
demi-heure	N_C	demi-heure
plus	P	plus
tard	ADV	tard
,	PCT_W	,
je	CL_suj	il
ne	ADV	ne
doutais	V	douter
plus	ADV	plus
que	ADV	que
,	PCT_W	,
si	C_S	si
les	D_def	le
conditions	N_C	condition
étaient	V	être
bonnes	A_qual	bon
,	PCT_W	,
l'	D_def	la|le
entreprise	N_C	entreprise
ne	ADV	ne
devait	V	devoir
pas	ADV	pas
être	V	être
au-dessus	ADV	au-dessus
de	D_part	un
mes	D_poss	son
forces	N_C	force
.	PCT_S	.
<s lang="fr" n="53-11">
Pressé	V	presser
que	C_S	que
j'	CL_suj	il
étais	V	être
de	P	de
mettre	V	mettre
mon	D_poss	son
projet	N_C	projet
à	P	à
exécution	N_C	exécution
,	PCT_W	,
je	CL_suj	il
n'	ADV	ne
aurais	V	avoir
probablement	ADV	probablement
jamais	ADV	jamais
trouvé	V	trouver
à	P	à
temps	N_C	temps
un	D_ind	un
compagnon	N_C	compagnon
qui	PRO_rel	qui
consentît	V	consentir
à	P	à
me	CL_obj	me
suivre	V	suivre
dans	P	dans
cette	D_dem	ce
paroi	N_C	paroi
haute	A_qual	haut
de	P	de
mille	D_card	mille
mètres	N_C	mètre
environ	ADV	environ
,	PCT_W	,
où	PRO_rel	où
les	D_def	le
pierres	N_C	pierre
ne	ADV	ne
s'	CL_refl	il
amoncellent	V	amonceler
nulle	D_ind	nul
part	N_C	part
,	PCT_W	,
où	PRO_rel	où
,	PCT_W	,
suivant	P	suivant
les	D_def	le
conditions	N_C	condition
,	PCT_W	,
l'on	CL_suj	il
est	V	être
sans	ADV	sans
cesse	V	cesser
à	P	à
leur	D_poss	son
merci	N_C	merci
,	PCT_W	,
et	C_C	et
qui	PRO_rel	qui
peut	V	pouvoir
être	V	être
de	D_ind	un
glace	N_C	glace
et	N_P	et
donner	V	donner
,	PCT_W	,
comme	C_C	comme
aux	P	à
premiers	A_ord	premier
ascensionnistes	N_C	ascensionniste
,	PCT_W	,
jusqu'	P	jusque
à	P	à
treize	D_card	treize
heures	N_C	heure
de	P	de
travail	N_C	travail
?	PCT_S	?
<s lang="fr" n="53-12">
Le	D_def	le
Guide	N_C	guide
x	A_qual	unk
)	PCT_W	)
qui	PRO_rel	qui
date	V	dater
de	D_ind	un
1920parle	N_C	unk
de	P	de
trois	D_card	trois
ascensions	N_C	ascension
en	P	en
vingt	D_card	vingt
ans	N_C	an
,	PCT_W	,
ce	PRO_dem	ce
qui	PRO_rel	qui
,	PCT_W	,
dans	P	dans
un	D_ind	un
massif	N_C	massif
aussi	ADV	aussi
fréquenté	A_qual	fréquenté
que	C_S	que
l'	D_def	la|le
est	N_P	est
celui	PRO_dem	celui
des	P	de
Windgälle	N_P	unk
